"id_c","acc_type_business_c","investment_profile_c","alternativeinvestments_c","managementfees_c","comments_c"
"5d7d61e0-e1d9-bab1-4619-650a8a132e36","","Growth","100","0,50","USD currency référence"
"e05d6320-03b7-0ad7-85d5-5cf772bdac68","","Balanced","20","1",""
"bab4d0e4-f6b8-b7b6-583b-5d517cbc0351","","Balanced","15","CHF 33'000.00 p.a.",""
"566cd29c-fc6c-3b80-d6ad-5e96fbe1ae6f","","Fixed Income","0","0","Compte d'épargne seulement"
"88604277-4d1f-17a7-664c-5e96fd7684e7","","Balanced","25","1.00",""
"a83e465f-583f-5fc4-1e22-5e96fe9a7c00","","Balanced","30","0.75",""
"90eaaf8b-99be-45ec-0475-5eb12d285dcf","","Balanced","20","1",""
"e3a432a7-8c30-7521-595b-5f6849575b5c","","Growth","30","0.75","Monnaie de référence CHF"
"ddead080-f47e-7e66-27bb-6001dc8849bb","","Growth","30","1","Monnaie de référence CHF"
"be553b60-5f91-63d4-f940-60a79625a28b","","Balanced","30","0.50 + 20% performance fee","Monnaie de référence CHF"
"f018ae1a-fb13-02a0-656a-6129efc8ce18","","Growth","25","0.5","Referance Currency = CHF"
"1e59872c-e17b-421c-6181-6256df42983c","","Growth","25","1.00","monaies de référence EUR"
"8971d326-8867-3527-e355-6256e38a071e","","Balanced","25","0.70","monaies de référence CHF"
"c221490a-dbce-3cb3-95ea-6256e651c4c0","","Fixed Income","0","0","Compte en CHF"
"c986c41f-25ba-f4c0-11b1-627beb9000fd","","Balanced","20","0,50","monaies de référence CHF"
"295ef47e-fed6-2c0a-9755-62c529f48ec6","","Growth","10","0.70","monaies de référence CHF"
"5d7914c6-ff72-698c-eb16-63049c3e1abe","","Growth","30","1.05%","Referenzwährung - CHF"
"d5b9741f-2bc5-f8d3-e2cc-63049d96fae0","","Balanced","30","1.1","Referenzwährung - CHF"
"972a1802-7c20-34c3-4bd9-63049eae2bac","","Revenue Oriented","30","0.9","Referenzwährung - CHF"
"7c51f2d3-ca2e-484e-bba3-63049eaae46d","","Balanced","30","1.1","Referenzwährung - CHF"
"266a226d-c99f-d285-f9d8-63049f210497","","Balanced","30","1.1","Referenzwährung - CHF"
"375ef4b3-5a2a-a110-1b71-63049ff40113","","Capital Gain","30","1","Referenzwährung - CHF"
"7a0b5b92-6ff7-d6a7-679b-6304b68e05be","","Capital Gain","30","1","Referenzwährung - CHF"
